Abbotsford Crescent  	 tuesday-2
Glenogle Place  	 tuesday-1
Glenogle Road  	 tuesday-1
Glenogle Terrace  	 tuesday-1
Glenorchy Terrace  	 tuesday-2
Glenure Loan  	 friday-1
Glenvarloch Crescent  	 thursday-2
Gloucester Lane  	 wednesday-1
Gloucester Place  	 wednesday-1
Gloucester Square  	 wednesday-1
Goff Avenue  	 wednesday-2
Gogar Station Road  	 thursday-1
Gogarbank  	 thursday-1
Gogarloch Bank  	 thursday-2
Gogarloch Haugh  	 thursday-2
Gogarloch Muir  	 thursday-2
Gogarloch Road  	 thursday-2
Gogarloch Syke  	 thursday-2
Gogarmuir Road  	 thursday-1
Gogarstone Road  	 thursday-1
Goldenacre Terrace  	 tuesday-2
Goldeneye Drive  	 wednesday-1
Goldeneye Gait  	 wednesday-1
Goldenrod Street  	 friday-1
Goodtrees Gardens  	 thursday-1
Goodtrees Terrace  	 thursday-1
Gordon Loan  	 friday-1
Gordon Road  	 friday-1
Gordon Street  	 wednesday-1
Gordon Terrace  	 thursday-2
Gorgie Park Close  	 tuesday-2
Gowanhill Farm Road  	 wednesday-1
Gracemount Avenue  	 thursday-2
Gracemount House Drive  	 thursday-2
Gracemount Place  	 thursday-2
Gracemount Road  	 thursday-1
Gracemount Square  	 thursday-2
Grandfield  	 tuesday-2
Grandison Drive  	 wednesday-1
Grandville  	 tuesday-2
Grange Crescent  	 tuesday-2
Grange Loan  	 tuesday-2
Grange Loan Gardens  	 tuesday-2
Grange Road  	 tuesday-2
Grange Terrace  	 tuesday-2
Grant Avenue  	 wednesday-2
Granton Crescent  	 tuesday-2
Granton Gardens  	 tuesday-2
Granton Grove  	 tuesday-2
Granton Mains Avenue  	 tuesday-1
Granton Mains Bank  	 tuesday-1
Granton Mains Brae  	 tuesday-1
Granton Mains Court  	 tuesday-1
Granton Mains East  	 tuesday-1
Granton Mains Gait  	 tuesday-1
Granton Mains Vale  	 tuesday-1
Granton Mains Wynd  	 tuesday-1
Granton Medway  	 tuesday-2
Granton Mill Crescent  	 tuesday-1
Granton Mill Drive  	 tuesday-1
Granton Mill March  	 tuesday-1
Granton Mill Park  	 tuesday-1
Granton Mill Place  	 tuesday-1
Granton Mill Road  	 tuesday-1
Granton Mill West  	 tuesday-1
Granton Park Avenue  	 tuesday-2
Granton Park Avenue North  	 tuesday-2
Granton Place  	 tuesday-1
Granton Road  	 tuesday-2
Granton Square  	 tuesday-1
Granton Terrace  	 tuesday-1
Granton View  	 tuesday-2
Grantully Place  	 wednesday-1
Granville Terrace  	 tuesday-2
Grassie Avenue  	 wednesday-1a
Gray's Loan  	 tuesday-2
Great Carleton Place  	 friday-1
Great Carleton Square  	 friday-1
Great Junction Street  	 wednesday-1
Great King Street  	 wednesday-1
Great Stuart Street  	 wednesday-1
Greenbank Avenue  	 tuesday-1
Greenbank Crescent  	 tuesday-1
Greenbank Drive  	 tuesday-1
Greenbank Gardens  	 tuesday-1
Greenbank Grove  	 tuesday-1
Greenbank Lane  	 tuesday-1
Greenbank Loan  	 tuesday-1
Greenbank Park  	 tuesday-1
Greenbank Place  	 tuesday-1
Greenbank Rise  	 tuesday-1
Greenbank Road  	 tuesday-1
Greenbank Row  	 tuesday-1
Greenbank Terrace  	 tuesday-1
Greencraig Drive  	 tuesday-1
Greendale Park  	 tuesday-1
Greendykes Road  	 friday-1
Greenend Drive  	 thursday-2
Greenend Gardens  	 thursday-2
Greenend Grove  	 thursday-2
Greenfield Crescent  	 wednesday-1
Greenfield Road  	 wednesday-1
Greenhill Court  	 tuesday-1
Greenhill Gardens  	 tuesday-2
Greenhill Park  	 tuesday-2
Greenhill Place  	 tuesday-2
Greenhill Terrace  	 tuesday-2
Greenlaw Hedge  	 tuesday-1
Greenlaw Rig  	 tuesday-1
Greenmantle Loan  	 thursday-2
Greenpark  	 thursday-2
Greenstone Loan  	 thursday-1
Greenwell Wynd  	 thursday-2
Greenwood Close  	 friday-1
Gretna Mews  	 wednesday-1
Grierson Avenue  	 tuesday-2
Grierson Crescent  	 tuesday-2
Grierson Gardens  	 tuesday-2
Grierson Road  	 tuesday-2
Grierson Square  	 tuesday-2
Grierson Villas  	 tuesday-2
Grieve Crescent  	 tuesday-1
Griffin Road  	 tuesday-1
Grigor Avenue  	 friday-2
Grigor Drive  	 friday-2
Grigor Gardens  	 friday-2
Grigor Terrace  	 friday-2
Groathill Avenue  	 friday-2
Groathill Gardens East  	 friday-2
Groathill Gardens West  	 friday-2
Groathill Loan  	 friday-2
Groathill Road North  	 friday-2
Groathill Road South  	 friday-2
Grosvenor Crescent  	 tuesday-1
Grosvenor Gardens  	 tuesday-1
Grosvenor Street  	 tuesday-1
Grove Street  	 tuesday-1
Grubb Gardens  	 thursday-1
Grundieswell Road  	 thursday-1
Guardhouse Parade  	 wednesday-1
Guardianswood  	 friday-2
Guardwell Crescent  	 thursday-1
Guardwell Glen  	 thursday-1
Gulliver Street  	 friday-1
Gyle Park Gardens  	 thursday-2
Gylemuir Road  	 thursday-2
Haddington Place  	 wednesday-1
Hadley Terrace  	 thursday-2
Haggs Farm Road  	 thursday-1
Haig Lane  	 wednesday-1
Hailes Approach  	 wednesday-1
Hailes Avenue  	 wednesday-1
Hailes Bank  	 wednesday-1
Hailes Crescent  	 wednesday-1
Hailes Gardens  	 wednesday-1
Hailes Grove  	 wednesday-1
Hailes Park  	 wednesday-1
Hailes Street  	 tuesday-2
Hailes Terrace  	 wednesday-1
Hailesland Gardens  	 wednesday-2
Hailesland Grove  	 wednesday-2
Hailesland Place  	 wednesday-2
Hailesland Road  	 wednesday-2
Hainburn Park  	 wednesday-2
Hall Terrace  	 friday-1
Hallcroft Close  	 thursday-1
Hallcroft Crescent  	 thursday-1
Hallcroft Gardens  	 thursday-1
Hallcroft Green  	 thursday-1
Hallcroft Neuk  	 thursday-1
Hallcroft Park  	 thursday-1
Hallcroft Rise  	 thursday-1
Hallhead Road  	 thursday-2
Hallyards Road  	 thursday-1
Hamilton Drive  	 friday-2
Hamilton Drive West  	 friday-2
Hamilton Gardens  	 friday-2
Hamilton Grove  	 friday-2
Hamilton Park  	 friday-2
Hamilton Terrace  	 friday-2
Hamilton Wynd  	 wednesday-1
Hamilton's Close  	 thursday-1
Hamilton's Folly Mews  	 friday-1
Hammond Place  	 friday-1
Hampton Place  	 tuesday-2
Hampton Terrace  	 tuesday-2
Hapland Bow  	 thursday-2
Harbour Lane  	 thursday-1
Harbour Place  	 friday-1
Harden Place  	 tuesday-2
Harelaw Road  	 wednesday-2
Harewood Crescent  	 friday-1
Harewood Drive  	 friday-1
Harlaw Bank  	 wednesday-1
Harlaw Gait  	 wednesday-1
Harlaw March  	 wednesday-1
Harlaw Road  	 wednesday-1
Harper Place  	 wednesday-1
Harper Walk  	 wednesday-1
Harperrig Way  	 tuesday-1
Harrismith Place  	 wednesday-2
Harrison Road  	 tuesday-2
Hart Street  	 wednesday-1
Hartington Gardens  	 tuesday-1
Hartington Place  	 tuesday-2
Harvest Road  	 thursday-1
Harvest Wynd  	 thursday-1
Harvesters Way  	 wednesday-2
Hatton Place  	 tuesday-2
Haugh Park  	 wednesday-2
Haugh Street  	 wednesday-1
Haughhead Farm  	 wednesday-1
Haven Lane  	 wednesday-1
Havenfield Mews  	 friday-1
Hawes Brae  	 thursday-1
Hawkhead Crescent  	 thursday-2
Hawkhead Grove  	 thursday-2
Hawkhill  	 wednesday-1
Hawkhill Avenue  	 wednesday-1
Hawthorn Place  	 thursday-1
Hawthornbank Lane  	 tuesday-1
Hawthornbank Place  	 wednesday-1
Hawthornbank Terrace  	 wednesday-1
Hay Avenue  	 friday-1
Hay Drive  	 friday-1
Hay Gardens  	 friday-1
Hay Place  	 friday-1
Hay Terrace  	 friday-1
Hayfield  	 thursday-2
Haymarket Terrace  	 tuesday-1
Haystack Park  	 thursday-2
Hazelbank Terrace  	 tuesday-1
Hazeldean Terrace  	 friday-1
Hazelwood Grove  	 friday-1
Headrigg Row  	 friday-1
Heath Road  	 tuesday-1
Heath Walk  	 tuesday-1
Hedgehog Crescent  	 wednesday-1
Hedgehog Walk  	 wednesday-1
Helen Crummy Way  	 wednesday-1a
Henderland Road  	 friday-2
Henderson Row  	 wednesday-1
Henderson Terrace  	 tuesday-2
Henry Ross Place  	 thursday-1
Hepburn Crescent  	 thursday-2
Herdrigg Place  	 thursday-2
Heriot Row  	 wednesday-1
Hermiston  	 thursday-1
Hermiston Steading  	 thursday-1
Hermitage Drive  	 tuesday-1
Hermitage Gardens  	 tuesday-1
Hermitage Park  	 wednesday-1
Hermitage Park Grove  	 wednesday-1
Hermitage Park Lea  	 wednesday-1
Hermitage Park South  	 wednesday-1
Hermitage Place  	 wednesday-1
Hermitage Terrace  	 tuesday-2
Hermits Croft  	 friday-1
Hewing Place  	 wednesday-1a
Hewlett Way  	 thursday-1
Hewson Way  	 friday-1
Hibbert Street  	 thursday-1
High Buckstone  	 tuesday-1
High Riggs  	 tuesday-2
Highlea Circle  	 wednesday-1
Highlea Grove  	 wednesday-1
Hill Place  	 friday-1
Hill Square  	 friday-1
Hillcoat Loan  	 friday-2
Hillcoat Place  	 friday-2
Hillhouse Road  	 friday-2
Hillpark Avenue  	 friday-2
Hillpark Brae  	 friday-2
Hillpark Court  	 friday-2
Hillpark Crescent  	 friday-2
Hillpark Drive  	 friday-2
Hillpark Gardens  	 friday-2
Hillpark Green  	 friday-2
Hillpark Grove  	 friday-2
Hillpark Loan  	 friday-2
Hillpark Rise  	 friday-2
Hillpark Road  	 friday-2
Hillpark Terrace  	 friday-2
Hillpark Way  	 friday-2
Hillpark Wood  	 friday-2
Hillside Road  	 friday-1
Hillside Terrace  	 friday-1
Hillview  	 friday-2
Hillview Cottages  	 thursday-1
Hillview Crescent  	 friday-1
Hillview Drive  	 friday-1
Hillview Road  	 friday-1
Hillview Terrace  	 friday-1
Hillwood Avenue  	 thursday-1
Hillwood Crescent  	 thursday-1
Hillwood Gardens  	 thursday-1
Hillwood Place  	 thursday-1
Hillwood Rise  	 thursday-1
Hillwood Road  	 thursday-1
Hillwood Terrace  	 thursday-1
Hoffmann Place  	 friday-1
Hollybank Terrace  	 tuesday-1
Holyrood Park Road  	 friday-1
Hope Lane  	 friday-2
Hope Lane North  	 friday-1
Hope Park Terrace  	 wednesday-1
Hope Terrace  	 tuesday-2
Hopefield Terrace  	 wednesday-1
Hopetoun Road  	 thursday-1
Hopetoun Street  	 wednesday-1
Hopper Gardens  	 wednesday-1a
Horsburgh Bank  	 wednesday-1
Horsburgh Gardens  	 wednesday-1
Horsburgh Grove  	 wednesday-1
Hoseason Gardens  	 friday-1
Hosie Rigg  	 friday-1
House O'Hill Avenue  	 friday-2
House O'Hill Brae  	 friday-2
House O'Hill Crescent  	 friday-2
House O'Hill Gardens  	 friday-2
House O'Hill Green  	 friday-2
House O'Hill Grove  	 friday-2
House O'Hill Place  	 friday-2
House O'Hill Road  	 friday-2
House O'Hill Row  	 friday-2
House O'Hill Terrace  	 friday-2
Housefield Drive  	 thursday-1
Howard Place  	 tuesday-2
Howard Street  	 tuesday-1
Howden Hall Court  	 thursday-2
Howden Hall Crescent  	 thursday-2
Howden Hall Drive  	 thursday-2
Howden Hall Gardens  	 thursday-2
Howden Hall Loan  	 thursday-2
Howden Hall Park  	 thursday-2
Howden Hall Way  	 thursday-2
Howe Park  	 wednesday-2
Howe Street  	 wednesday-1
Hugh Miller Place  	 tuesday-1
Hugh Russell Place  	 thursday-1
Humbie Farm Road  	 thursday-1
Humbie Road  	 thursday-1
Huntingdon Place  	 wednesday-1
Hutchison Avenue  	 tuesday-2
Hutchison Cottages  	 tuesday-2
Hutchison Crossway  	 tuesday-2
Hutchison Gardens  	 tuesday-2
Hutchison Grove  	 tuesday-2
Hutchison Loan  	 tuesday-2
Hutchison Medway  	 tuesday-2
Hutchison Park  	 tuesday-2
Hutchison Place  	 tuesday-2
Hutchison Road  	 tuesday-2
Hutchison Terrace  	 tuesday-2
Hutchison View  	 tuesday-2
Hyvot Avenue  	 thursday-1
Hyvot Bank Avenue  	 thursday-1
Hyvot Court  	 thursday-1
Hyvot Gardens  	 thursday-1
Hyvot Green  	 thursday-1
Hyvot Grove  	 thursday-1
Hyvot Loan  	 thursday-1
Hyvot Mill Drive  	 thursday-1
Hyvot Mill Road  	 thursday-1
Hyvot Park  	 thursday-1
Hyvot Terrace  	 thursday-1
Hyvot View  	 thursday-1
Inchcolm Terrace  	 thursday-1
Inchgarvie Park  	 thursday-1
Inchkeith Avenue  	 thursday-1
Inchview Terrace  	 wednesday-2
India Street  	 wednesday-1
Industrial Road  	 wednesday-1
Industry Home  	 wednesday-1
Industry Lane  	 wednesday-1
Inglewood Place  	 thursday-2
Inglis Green Gait  	 wednesday-2
Inglis Green Rigg  	 tuesday-2
Inglis Green Road  	 tuesday-2
Ingliston Gardens  	 thursday-1
Ingliston Interchange  	 thursday-1
Ingliston Road  	 thursday-1
Innes Road  	 wednesday-1
Inveralmond Drive  	 friday-1
Inveralmond Gardens  	 friday-1
Inveralmond Grove  	 friday-1
Inverleith Avenue  	 tuesday-2
Inverleith Avenue South  	 tuesday-2
Inverleith Gardens  	 tuesday-2
Inverleith Grove  	 tuesday-2
Inverleith Place  	 tuesday-2
Inverleith Place Lane  	 tuesday-2
Inverleith Row  	 tuesday-2
Inverleith Terrace  	 tuesday-2
Inverleith Terrace Lane  	 tuesday-1
Ivanhoe Crescent  	 thursday-2
Ivy Terrace  	 tuesday-1
Jamaica Street North Lane  	 wednesday-1
Jamaica Street South Lane  	 wednesday-1
James Street  	 friday-2
Jane Smeal Crescent  	 wednesday-1
Jane Smeal Lane  	 wednesday-1
Jane Street  	 wednesday-1
Janefield  	 thursday-1
Jansch Place  	 tuesday-1
Jardine Place  	 friday-1
Jeffrey Avenue  	 friday-2
Jeffrey Street  	 thursday-1
Jessfield Terrace  	 wednesday-1
John Mason Court  	 thursday-1
John Street  	 friday-2
John Street Lane East  	 friday-2
John Street Lane West  	 friday-1
John's Place  	 wednesday-1
Johnsburn Green  	 wednesday-1
Johnsburn Haugh  	 wednesday-1
Johnsburn Park  	 wednesday-1
Johnsburn Road  	 wednesday-1
Joppa Gardens  	 friday-2
Joppa Grove  	 friday-2
Joppa Pans  	 friday-2
Joppa Park  	 friday-1
Joppa Road  	 friday-2
Joppa Road 76  	 friday-1
Joppa Station Place  	 friday-2
Joppa Terrace  	 friday-2
Jordan Lane  	 tuesday-1
Junction Place  	 wednesday-1
Juniper Avenue  	 wednesday-1
Juniper Gardens  	 wednesday-1
Juniper Grove  	 wednesday-1
Juniper Lane  	 wednesday-1
Juniper Place  	 wednesday-1
Juniper Terrace  	 wednesday-1
Juniperlee  	 wednesday-1
Kaimes Road  	 friday-1
Kane Wynd  	 friday-1
Katesmill Road  	 wednesday-1
Kedslie Place  	 thursday-2
Kedslie Road  	 thursday-2
Keith Crescent  	 friday-2
Keith Row  	 friday-2
Keith Terrace  	 friday-1
Kekewich Avenue  	 wednesday-2
Kelly Place  	 friday-1
Kemp Place  	 tuesday-1
Kempsel Grove  	 thursday-2
Kempston Place  	 thursday-1
Kenilworth Drive  	 thursday-2
Kenmure Avenue  	 wednesday-2
Kestrel Avenue  	 thursday-2
Kestrel Gardens  	 thursday-2
Kew Terrace  	 tuesday-2
Kidlaw Close  	 thursday-2
Kilchurn Court  	 thursday-2
Kilgours Bow  	 wednesday-1a
Kilgraston Road  	 tuesday-2
Killiekrankies Path  	 thursday-1
Kilmaurs Road  	 friday-1
Kilmaurs Terrace  	 friday-1
Kilmorey Place  	 thursday-1
Kilngate Brae  	 thursday-1
Kimmerghame Drive  	 tuesday-1
Kimmerghame Loan  	 tuesday-1
Kimmerghame Place  	 tuesday-1
Kimmerghame Row  	 tuesday-1
Kimmerghame View  	 tuesday-1
Kinellan Gardens  	 friday-1
Kinellan Road  	 friday-2
King Edward's Way  	 thursday-1
King Malcolm Close  	 tuesday-1
King's Cramond  	 friday-1
King's Haugh  	 friday-1
King's Meadow  	 friday-1
King's Road  	 friday-2
King's Stables Road  	 tuesday-1
Kinghorn Place  	 tuesday-1
Kings View Crescent  	 thursday-1
Kingsburgh Road  	 friday-2
Kingsknowe Avenue  	 tuesday-2
Kingsknowe Crescent  	 tuesday-2
Kingsknowe Drive  	 tuesday-2
Kingsknowe Gardens  	 tuesday-2
Kingsknowe Grove  	 tuesday-2
Kingsknowe Park  	 wednesday-2
Kingsknowe Place  	 wednesday-2
Kingsknowe Road North  	 wednesday-2
Kingsknowe Road South  	 tuesday-2
Kingsknowe Terrace  	 tuesday-2
Kingston Avenue  	 friday-1
Kinleith Mill Road  	 wednesday-1
Kinloch Road  	 thursday-1
Kinnear Rise  	 tuesday-2
Kinnear Road  	 tuesday-2
Kirk Brae  	 thursday-2
Kirk Cramond  	 friday-1
Kirk Loan  	 friday-1
Kirk Park  	 thursday-2
Kirkhill Drive  	 friday-1
Kirkhill Gardens  	 friday-1
Kirkhill Road  	 friday-1
Kirkhill Terrace  	 friday-1
Kirklands  	 friday-1
Kirklands Park Crescent  	 thursday-1
Kirklands Park Gardens  	 thursday-1
Kirklands Park Grove  	 thursday-1
Kirklands Park Rigg  	 thursday-1
Kirklands Park Street  	 thursday-1
Kirkliston Road  	 thursday-1
Kirkstyle Gardens  	 thursday-1
Kisimul Court  	 thursday-2
Klondyke Street  	 wednesday-1a
Knight Crescent  	 friday-1
Ladehead  	 wednesday-1
Ladiemeadow  	 friday-1
Lady Nairne Crescent  	 wednesday-2
Lady Nairne Grove  	 wednesday-2
Lady Nairne Loan  	 wednesday-2
Lady Nairne Place  	 wednesday-2
Lady Road  	 thursday-2
Ladycroft  	 wednesday-1
Ladysmith Road  	 tuesday-2
Ladywell Avenue  	 friday-1
Ladywell Gardens  	 friday-1
Ladywell Road  	 friday-1
Laichfield  	 tuesday-2
Laichpark Loan  	 tuesday-2
Laichpark Place  	 tuesday-2
Laichpark Road  	 tuesday-2
Lairdship Drive  	 thursday-2
Lamb's Court  	 wednesday-1
Lambsmiln Place  	 thursday-1
Lammermoor Terrace  	 friday-1
Lamont Place  	 thursday-2
Lampacre Road  	 friday-1
Lanark Road West  	 wednesday-1
Lang Rigg  	 thursday-1
Langton Road  	 tuesday-2
Langwill Place  	 wednesday-1
Lansdowne Crescent  	 tuesday-1
Lapicide Place  	 wednesday-1
Larbourfield  	 wednesday-2
Larchfield  	 wednesday-1
Larchfield Neuk  	 wednesday-1
Larchgrove  	 wednesday-1
Larchwood Square  	 friday-1
Larkfield Gardens  	 tuesday-2
Lasswade Bank  	 thursday-1
Lasswade Grove  	 thursday-1
Latch Park  	 wednesday-2
Latta Place  	 wednesday-1
Lauder Loan  	 tuesday-2
Lauder Road  	 tuesday-2
Laurel Terrace  	 tuesday-1
Lauriston Farm Road  	 tuesday-1
Lauriston Gardens  	 tuesday-2
Lauriston Place  	 tuesday-2
Lauriston Street  	 tuesday-2
Lauriston Terrace  	 friday-1
Lauson Place  	 thursday-1
Laverockbank Avenue  	 tuesday-2
Laverockbank Crescent  	 tuesday-2
Laverockbank Gardens  	 tuesday-2
Laverockbank Grove  	 tuesday-2
Laverockbank Road  	 tuesday-2
Laverockbank Terrace  	 tuesday-2
Laverockdale Crescent  	 wednesday-2
Laverockdale Loan  	 wednesday-2
Laverockdale Park  	 wednesday-2
Law Place  	 friday-1
Lawnmarket  	 tuesday-1
Lawson Crescent  	 thursday-1
Leadervale Road  	 thursday-2
Leadervale Terrace  	 thursday-2
Leamington Lane  	 tuesday-2
Leamington Place  	 tuesday-1
Leamington Terrace  	 tuesday-2
Learmonth Avenue  	 tuesday-1
Learmonth Crescent  	 tuesday-1
Learmonth Gardens  	 tuesday-1
Learmonth Gardens Mews  	 tuesday-1
Learmonth Grove  	 tuesday-2
Learmonth Park  	 tuesday-1
Learmonth Place  	 tuesday-2
Learmonth Terrace  	 tuesday-1
Lee Crescent  	 friday-2
Leith Walk  	 wednesday-1
Lennel Avenue  	 friday-2
Lennie Cottages  	 thursday-2
Lennox Row  	 tuesday-2
Lennox Street  	 tuesday-1
Lennox Street Lane  	 tuesday-1
Lennymuir  	 thursday-2
Lerbar Way  	 thursday-2
Leslie Place  	 tuesday-1
Leven Street  	 tuesday-1
Lewis Terrace  	 tuesday-1
Liberton Brae  	 thursday-2
Liberton Dams  	 thursday-2
Liberton Drive  	 thursday-1
Liberton Gardens  	 thursday-2
Liberton Place  	 thursday-2
Liberton Tower Lane  	 thursday-2
Lidgate Shot  	 thursday-1
Lily Terrace  	 tuesday-2
Lilyhill Terrace  	 wednesday-2
Lime Kilns View  	 thursday-1
Limefield  	 thursday-1
Lindean Place  	 wednesday-1
Linden Avenue  	 thursday-2
Lingerwood Lane  	 friday-1
Linn Mill  	 thursday-1
Lismore Avenue  	 wednesday-2
Lismore Crescent  	 wednesday-2
Liston Drive  	 thursday-1
Liston Place  	 thursday-1
Liston Road  	 thursday-1
Little France Mills  	 thursday-1
Little Road  	 thursday-2
Little Street  	 thursday-1
Littlejohn Avenue  	 tuesday-1
Littlejohn Road  	 tuesday-1
Littlejohn Wynd  	 tuesday-1
Livingstone Place  	 tuesday-1
Lixmount Avenue  	 tuesday-2
Lixmount Gardens  	 tuesday-2
Loaning Road  	 wednesday-2
Loch Place  	 thursday-1
Lochend Avenue  	 wednesday-1
Lochend Castle Barns  	 wednesday-2
Lochend Crescent  	 wednesday-2
Lochend Drive  	 wednesday-2
Lochend Gardens  	 wednesday-2
Lochend Grove  	 wednesday-1
Lochend Park  	 wednesday-1
Lochend Quadrant  	 wednesday-1
Lochend Road South  	 wednesday-2
Lochend Square  	 wednesday-1
Lochiel Avenue  	 thursday-1
Lochiel Crossway  	 thursday-2
Lochiel Gardens  	 thursday-1
Lochrin Buildings  	 tuesday-1
Lockerby Cottages  	 thursday-1a
Lockerby Crescent  	 thursday-1
Lockerby Grove  	 thursday-1
Lockharton Avenue  	 wednesday-2
Lockharton Crescent  	 wednesday-2
Lockharton Gardens  	 wednesday-2
Logan Street  	 wednesday-1
Loganlea Avenue  	 wednesday-2
Loganlea Drive  	 wednesday-2
Loganlea Gardens  	 wednesday-1
Loganlea Loan  	 wednesday-2
Loganlea Place  	 wednesday-2
Loganlea Road  	 wednesday-2
Loganlea Terrace  	 wednesday-2
Logie Green Gardens  	 wednesday-1
Logie Green Loan  	 wednesday-1
Logie Green Road  	 wednesday-1
Lomond Road  	 tuesday-2
London Street  	 wednesday-1
Long Craig Road  	 thursday-1
Long Crook  	 thursday-1
Long Dalmahoy Road  	 wednesday-1
Longformacus Road  	 thursday-2
Longstone Avenue  	 wednesday-2
Longstone Cottages  	 wednesday-2
Longstone Crescent  	 wednesday-2
Longstone Gardens  	 wednesday-2
Longstone Grove  	 wednesday-2
Longstone Road  	 wednesday-2
Longstone Street  	 wednesday-2
Longstone Terrace  	 wednesday-2
Longstone View  	 wednesday-2
Longwall Crescent  	 wednesday-1a
Lorne Street  	 wednesday-1
Lothian Road  	 tuesday-1
Lovedale Avenue  	 wednesday-1
Lovedale Crescent  	 wednesday-1
Lovedale Gardens  	 wednesday-1
Lovedale Grove  	 wednesday-1
Lovedale Road  	 wednesday-1
Lovers' Lane  	 thursday-1
Lower Granton Road  	 tuesday-2
Lower Joppa  	 friday-2
Lower London Road  	 wednesday-2
Lowood  	 friday-1
Lowrie Gait  	 thursday-1
Lucas Gardens  	 wednesday-1
Lufra Bank  	 tuesday-2
Lugton Circle  	 wednesday-1
Lugton Terrace  	 wednesday-1
Lumsden Court  	 thursday-1
Lumsden Loan  	 wednesday-1
Lumsden Square  	 wednesday-1
Lumsden Wynd  	 wednesday-1
Lurie Place  	 friday-1
Lussielaw Road  	 tuesday-2
Lutton Place  	 wednesday-1
Lyall Bow  	 wednesday-1
Lygon Road  	 thursday-2
Lymphoy  	 wednesday-1
Lynedoch Place  	 tuesday-1
Lynedoch Place Lane  	 tuesday-1
Macdowall Road  	 tuesday-2
Macfie Loan  	 wednesday-2
Macgill Drive  	 tuesday-1
Mackenzie Place  	 wednesday-1
Mackinnon Crescent  	 thursday-1
Macmath Gait  	 thursday-2
Macmillan Crescent  	 tuesday-1
Macmillan Terrace  	 tuesday-1
Madeira Place  	 wednesday-1
Magdala Crescent  	 tuesday-2
Magdala Mews  	 tuesday-2
Magdalene Avenue  	 friday-2
Magdalene Court  	 friday-2
Magdalene Drive  	 friday-2
Magdalene Gardens  	 friday-2
Magdalene Loan  	 friday-2
Magdalene Medway  	 friday-2
Magdalene Place  	 friday-2
Maidencraig Crescent  	 friday-2
Maidencraig Grove  	 friday-2
Maingait Medway  	 wednesday-1a
Mains Of Craigmillar  	 friday-1
Maitland Hog Lane  	 thursday-1
Maitland Road  	 thursday-1
Malachi Close  	 thursday-1
Malachi Gait  	 thursday-1
Malachi Green  	 thursday-1
Malachi Rigg  	 thursday-1
Malbet Park  	 thursday-2
Malbet Wynd  	 thursday-2
Malleny  	 wednesday-1
Malleny Avenue  	 wednesday-1
Malleny Millgate  	 wednesday-1
Malta Terrace  	 tuesday-1
Maltman Street  	 friday-1
Mannering Place  	 thursday-2
Manor Place  	 tuesday-1
Manse Street  	 friday-1
Mansfield Place  	 wednesday-1
Mansfield Road  	 wednesday-1
Mansionhouse Road  	 tuesday-2
Maplewood Park  	 friday-1
March Gait  	 friday-2
March Grove  	 friday-2
March Pines  	 friday-2
March Road  	 friday-2
Marchbank Drive  	 wednesday-1
Marchbank Gardens  	 wednesday-1
Marchbank Grove  	 wednesday-1
Marchbank Place  	 wednesday-1
Marchbank Way  	 wednesday-1
Marchfield Grove  	 friday-2
Marchfield Park  	 friday-2
Marchfield Park Lane  	 friday-2
Marchfield Terrace  	 friday-2
Marchhall Crescent  	 friday-1
Marchhall Place  	 friday-1
Marchhall Road  	 friday-1
Mardale Crescent  	 tuesday-1
Marden Place  	 thursday-2
Margaret Rose Avenue  	 tuesday-1
Margaret Rose Crescent  	 tuesday-1
Margaret Rose Drive  	 tuesday-1
Margaret Rose Loan  	 tuesday-1
Margaret Rose Walk  	 tuesday-1
Margaret Rose Way  	 tuesday-1
Marine Drive  	 tuesday-1
Marionville Avenue  	 wednesday-2
Marionville Crescent  	 wednesday-2
Marionville Drive  	 wednesday-2
Marionville Grove  	 wednesday-2
Marionville Medway  	 wednesday-2
Marionville Park  	 wednesday-2
Marionville Road  	 wednesday-2
Marlborough Street  	 friday-1
Marmion Crescent  	 friday-1
Marrow Street  	 tuesday-1
Marshall Road  	 thursday-1
Martin Street  	 thursday-1
Masson Close  	 thursday-1
Maude Close  	 thursday-1
Maude Park  	 thursday-1
Maude Place  	 thursday-1
Maurice Place  	 tuesday-2
Mauseley Park  	 thursday-2
Maxwell Street  	 tuesday-1
Mayall Road  	 tuesday-1
Maybank Villas  	 friday-1
Maybury Drive  	 thursday-2
Maybury Road  	 thursday-2
Mayfield Terrace  	 wednesday-1
Mayville Gardens  	 tuesday-2
Mayville Gardens East  	 tuesday-2
Mcarthur Rigg  	 thursday-1
Mccartney Road  	 wednesday-1a
Mcdonald Place  	 wednesday-1
Mcdonald Road  	 wednesday-1
Mcdonald Street  	 wednesday-1
Mclaren Road  	 wednesday-1
Mclaren Terrace  	 tuesday-1
Meadow Lane  	 wednesday-1
Meadow Place Road  	 friday-1
Meadowfield Avenue  	 wednesday-2
Meadowfield Court  	 wednesday-1
Meadowfield Drive  	 wednesday-2
Meadowfield Gardens  	 wednesday-2
Meadowfield Terrace  	 wednesday-2
Meadowhouse Road  	 friday-1
Meadowspot  	 tuesday-1
Meadowsweet Drive  	 thursday-2
Mearenside  	 thursday-2
Meggetland Terrace  	 tuesday-1
Melgund Terrace  	 wednesday-1
Melville Crescent  	 tuesday-1
Melville Street  	 monday
Melville Terrace  	 tuesday-1
Mentone Avenue  	 friday-1
